prize_pool,name,region,url,tournament_id
2250000,Valorant Champions 2025,mod-fr,https://www.vlr.gg/event/2283/valorant-champions-2025,2283
0,China Evolution Series: Act 3,mod-cn,https://www.vlr.gg/event/2590/china-evolution-series-act-3,2590
250000,VCT 2025: Americas Stage 2,mod-us,https://www.vlr.gg/event/2501/vct-2025-americas-stage-2,2501
250000,VCT 2025: EMEA Stage 2,mod-de,https://www.vlr.gg/event/2498/vct-2025-emea-stage-2,2498
250000,VCT 2025: Pacific Stage 2,mod-kr,https://www.vlr.gg/event/2500/vct-2025-pacific-stage-2,2500
0,VCT 2025: China Stage 2,mod-cn,https://www.vlr.gg/event/2499/vct-2025-china-stage-2,2499
1000000,Valorant Masters Toronto 2025,mod-ca,https://www.vlr.gg/event/2282/valorant-masters-toronto-2025,2282
0,VCT 2025: EMEA Stage 1,mod-de,https://www.vlr.gg/event/2380/vct-2025-emea-stage-1,2380
0,VCT 2025: Pacific Stage 1,mod-kr,https://www.vlr.gg/event/2379/vct-2025-pacific-stage-1,2379
0,China Evolution Series: Act 2 X Asian Champions League,mod-cn,https://www.vlr.gg/event/2450/china-evolution-series-act-2-x-asian-champions-league,2450
0,VCT 2025: China Stage 1,mod-cn,https://www.vlr.gg/event/2359/vct-2025-china-stage-1,2359
0,VCT 2025: Americas Stage 1,mod-us,https://www.vlr.gg/event/2347/vct-2025-americas-stage-1,2347
500000,Valorant Masters Bangkok 2025,mod-th,https://www.vlr.gg/event/2281/valorant-masters-bangkok-2025,2281
0,China Evolution Series: Act 1,mod-cn,https://www.vlr.gg/event/2339/china-evolution-series-act-1,2339
0,VCT 2025: EMEA Kickoff,mod-de,https://www.vlr.gg/event/2276/vct-2025-emea-kickoff,2276
250000,VCT 2025: Pacific Kickoff,mod-kr,https://www.vlr.gg/event/2277/vct-2025-pacific-kickoff,2277
0,VCT 2025: Americas Kickoff,mod-us,https://www.vlr.gg/event/2274/vct-2025-americas-kickoff,2274
0,VCT 2025: China Kickoff,mod-cn,https://www.vlr.gg/event/2275/vct-2025-china-kickoff,2275
2250000,Valorant Champions 2024,mod-kr,https://www.vlr.gg/event/2097/valorant-champions-2024,2097
250000,Champions Tour 2024: Americas Stage 2,mod-us,https://www.vlr.gg/event/2095/champions-tour-2024-americas-stage-2,2095
0,Champions Tour 2024: China Stage 2,mod-cn,https://www.vlr.gg/event/2096/champions-tour-2024-china-stage-2,2096
250000,Champions Tour 2024: Pacific Stage 2,mod-kr,https://www.vlr.gg/event/2005/champions-tour-2024-pacific-stage-2,2005
250000,Champions Tour 2024: EMEA Stage 2,mod-de,https://www.vlr.gg/event/2094/champions-tour-2024-emea-stage-2,2094
1000000,Champions Tour 2024: Masters Shanghai,mod-cn,https://www.vlr.gg/event/1999/champions-tour-2024-masters-shanghai,1999
0,Champions Tour 2024: China Stage 1,mod-cn,https://www.vlr.gg/event/2006/champions-tour-2024-china-stage-1,2006
0,Champions Tour 2024: Americas Stage 1,mod-us,https://www.vlr.gg/event/2004/champions-tour-2024-americas-stage-1,2004
0,Champions Tour 2024: EMEA Stage 1,mod-de,https://www.vlr.gg/event/1998/champions-tour-2024-emea-stage-1,1998
0,Champions Tour 2024: Pacific Stage 1,mod-kr,https://www.vlr.gg/event/2002/champions-tour-2024-pacific-stage-1,2002
500000,Champions Tour 2024: Masters Madrid,mod-es,https://www.vlr.gg/event/1921/champions-tour-2024-masters-madrid,1921
0,Champions Tour 2024: Americas Kickoff,mod-us,https://www.vlr.gg/event/1923/champions-tour-2024-americas-kickoff,1923
0,Champions Tour 2024: China Kickoff,mod-cn,https://www.vlr.gg/event/1926/champions-tour-2024-china-kickoff,1926
0,Champions Tour 2024: EMEA Kickoff,mod-de,https://www.vlr.gg/event/1925/champions-tour-2024-emea-kickoff,1925
0,Champions Tour 2024: Pacific Kickoff,mod-kr,https://www.vlr.gg/event/1924/champions-tour-2024-pacific-kickoff,1924
40988,China Evolution Series Act 3: Heritability,mod-cn,https://www.vlr.gg/event/1880/china-evolution-series-act-3-heritability,1880
41671,China Evolution Series Act 2: Selection,mod-cn,https://www.vlr.gg/event/1825/china-evolution-series-act-2-selection,1825
40941,China Evolution Series Act 1: Variation,mod-cn,https://www.vlr.gg/event/1747/china-evolution-series-act-1-variation,1747
2250000,Valorant Champions 2023,mod-us,https://www.vlr.gg/event/1657/valorant-champions-2023,1657
0,Champions Tour 2023: Americas Last Chance Qualifier,mod-us,https://www.vlr.gg/event/1658/champions-tour-2023-americas-last-chance-qualifier,1658
0,Champions Tour 2023: EMEA Last Chance Qualifier,mod-eu,https://www.vlr.gg/event/1659/champions-tour-2023-emea-last-chance-qualifier,1659
0,Champions Tour 2023: Pacific Last Chance Qualifier,mod-kr,https://www.vlr.gg/event/1660/champions-tour-2023-pacific-last-chance-qualifier,1660
0,Champions Tour 2023: Champions China Qualifier,mod-cn,https://www.vlr.gg/event/1664/champions-tour-2023-champions-china-qualifier,1664
1000000,Champions Tour 2023: Masters Tokyo,mod-jp,https://www.vlr.gg/event/1494/champions-tour-2023-masters-tokyo,1494
250000,Champions Tour 2023: Americas League,mod-us,https://www.vlr.gg/event/1189/champions-tour-2023-americas-league,1189
250000,Champions Tour 2023: EMEA League,mod-de,https://www.vlr.gg/event/1190/champions-tour-2023-emea-league,1190
250000,Champions Tour 2023: Pacific League,mod-kr,https://www.vlr.gg/event/1191/champions-tour-2023-pacific-league,1191
500000,Champions Tour 2023: LOCK//IN São Paulo,mod-br,https://www.vlr.gg/event/1188/champions-tour-2023-lock-in-s-o-paulo,1188
1000000,Valorant Champions 2022,mod-tr,https://www.vlr.gg/event/1015/valorant-champions-2022,1015
48645,Champions Tour South America: Last Chance Qualifier,mod-br,https://www.vlr.gg/event/1111/champions-tour-south-america-last-chance-qualifier,1111
0,Champions Tour North America: Last Chance Qualifier,mod-us,https://www.vlr.gg/event/1130/champions-tour-north-america-last-chance-qualifier,1130
51030,Champions Tour EMEA: Last Chance Qualifier,mod-eu,https://www.vlr.gg/event/1117/champions-tour-emea-last-chance-qualifier,1117
0,Champions Tour East Asia: Last Chance Qualifier,mod-un,https://www.vlr.gg/event/1083/champions-tour-east-asia-last-chance-qualifier,1083
0,Champions Tour Asia-Pacific: Last Chance Qualifier,mod-un,https://www.vlr.gg/event/1084/champions-tour-asia-pacific-last-chance-qualifier,1084
650000,Valorant Champions Tour Stage 2: Masters Copenhagen,mod-dk,https://www.vlr.gg/event/1014/valorant-champions-tour-stage-2-masters-copenhagen,1014
20788,Oceania Tour: Championship,mod-au,https://www.vlr.gg/event/1113/oceania-tour-championship,1113
0,Champions Tour LATAM/BR Stage 2: Last Chance Qualifier,mod-ar,https://www.vlr.gg/event/1085/champions-tour-latam-br-stage-2-last-chance-qualifier,1085
50000,Champions Tour Latin America Stage 2: Playoffs,mod-ar,https://www.vlr.gg/event/1086/champions-tour-latin-america-stage-2-playoffs,1086
200000,Champions Tour North America Stage 2: Challengers,mod-us,https://www.vlr.gg/event/800/champions-tour-north-america-stage-2-challengers,800
79222,Champions Tour Brazil Stage 2: Challengers,mod-br,https://www.vlr.gg/event/911/champions-tour-brazil-stage-2-challengers,911
216946,Champions Tour EMEA Stage 2: Challengers,mod-eu,https://www.vlr.gg/event/984/champions-tour-emea-stage-2-challengers,984
150000,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,mod-un,https://www.vlr.gg/event/1063/champions-tour-asia-pacific-stage-2-challengers-playoffs,1063
15465,Champions Tour Japan Stage 2: Challengers Playoffs,mod-jp,https://www.vlr.gg/event/1013/champions-tour-japan-stage-2-challengers-playoffs,1013
82940,Champions Tour Korea Stage 2: Challengers,mod-kr,https://www.vlr.gg/event/998/champions-tour-korea-stage-2-challengers,998
15000,Champions Tour Latin America South Stage 2: Challengers,mod-un,https://www.vlr.gg/event/988/champions-tour-latin-america-south-stage-2-challengers,988
15000,Champions Tour Latin America North Stage 2: Challengers,mod-un,https://www.vlr.gg/event/983/champions-tour-latin-america-north-stage-2-challengers,983
28500,Skyesports Champions Series,mod-in,https://www.vlr.gg/event/996/skyesports-champions-series,996
0,Champions Tour Japan Stage 2: Challengers Week 2,mod-jp,https://www.vlr.gg/event/1012/champions-tour-japan-stage-2-challengers-week-2,1012
