tournament_id,match_id,game_id,map,pick,team1_id,team2_id,score1_ct,score1_t,score2_ct,score2_t,score1,score2,winner_id,loser_id,duration,game_url
2283,542195,233397,Bind,13581,624,13581,6,7,3,6,13,9,624,13581,48:56,https://www.vlr.gg/542195/paper-rex-vs-xi-lai-gaming-valorant-champions-2025-opening-a/?game=233397
2283,542205,233427,Abyss,8185,474,8185,6,2,7,6,8,13,8185,474,47:56,https://www.vlr.gg/542205/team-liquid-vs-drx-valorant-champions-2025-opening-c/?game=233427
2283,542207,233431,Corrode,1034,1034,1120,6,7,5,6,13,11,1034,1120,55:36,https://www.vlr.gg/542207/nrg-vs-edward-gaming-valorant-champions-2025-opening-c/?game=233431
2283,542195,233398,Sunset,624,624,13581,8,5,1,4,13,5,624,13581,39:04,https://www.vlr.gg/542195/paper-rex-vs-xi-lai-gaming-valorant-champions-2025-opening-a/?game=233398
2283,542196,233401,Sunset,14419,14419,2,10,3,2,2,13,4,14419,2,38:15,https://www.vlr.gg/542196/giantx-vs-sentinels-valorant-champions-2025-opening-a/?game=233401
2283,542196,233402,Haven,,14419,2,4,9,1,8,13,9,14419,2,51:34,https://www.vlr.gg/542196/giantx-vs-sentinels-valorant-champions-2025-opening-a/?game=233402
2283,542196,233400,Corrode,2,14419,2,6,0,7,6,6,13,2,14419,41:17,https://www.vlr.gg/542196/giantx-vs-sentinels-valorant-champions-2025-opening-a/?game=233400
2283,542207,233430,Abyss,1120,1034,1120,2,10,2,10,17,15,1034,1120,1:14:38,https://www.vlr.gg/542207/nrg-vs-edward-gaming-valorant-champions-2025-opening-c/?game=233430
2283,542205,233428,Bind,474,474,8185,6,4,7,6,10,13,8185,474,51:28,https://www.vlr.gg/542205/team-liquid-vs-drx-valorant-champions-2025-opening-c/?game=233428
2283,542212,233445,Lotus,11981,11981,14,5,7,5,7,13,15,14,11981,1:04:38,https://www.vlr.gg/542212/dragon-ranger-gaming-vs-t1-valorant-champions-2025-opening-d/?game=233445
2283,542212,233446,Sunset,14,11981,14,7,5,7,5,14,16,14,11981,1:27:05,https://www.vlr.gg/542212/dragon-ranger-gaming-vs-t1-valorant-champions-2025-opening-d/?game=233446
2283,542211,233443,Lotus,11058,11058,1001,7,3,8,5,10,13,1001,11058,56:24,https://www.vlr.gg/542211/g2-esports-vs-team-heretics-valorant-champions-2025-opening-d/?game=233443
2283,542200,233412,Haven,12010,12010,7386,2,0,3,10,2,13,7386,12010,34:58,https://www.vlr.gg/542200/bilibili-gaming-vs-mibr-valorant-champions-2025-opening-b/?game=233412
2283,542201,233415,Ascent,2593,878,2593,5,5,6,7,10,13,2593,878,57:19,https://www.vlr.gg/542201/rex-regum-qeon-vs-fnatic-valorant-champions-2025-opening-b/?game=233415
2283,542200,233413,Corrode,7386,12010,7386,7,2,8,5,9,13,7386,12010,47:01,https://www.vlr.gg/542200/bilibili-gaming-vs-mibr-valorant-champions-2025-opening-b/?game=233413
2283,542211,233442,Corrode,1001,11058,1001,8,2,9,4,10,13,1001,11058,55:59,https://www.vlr.gg/542211/g2-esports-vs-team-heretics-valorant-champions-2025-opening-d/?game=233442
2283,542201,233416,Abyss,878,878,2593,0,7,5,8,7,13,2593,878,45:03,https://www.vlr.gg/542201/rex-regum-qeon-vs-fnatic-valorant-champions-2025-opening-b/?game=233416
2283,542197,233403,Ascent,14419,624,14419,7,4,8,5,11,13,14419,624,54:54,https://www.vlr.gg/542197/paper-rex-vs-giantx-valorant-champions-2025-winners-a/?game=233403
2283,542197,233404,Lotus,624,624,14419,5,8,4,6,13,10,624,14419,46:53,https://www.vlr.gg/542197/paper-rex-vs-giantx-valorant-champions-2025-winners-a/?game=233404
2283,542197,233405,Sunset,,624,14419,6,7,5,1,13,6,624,14419,38:53,https://www.vlr.gg/542197/paper-rex-vs-giantx-valorant-champions-2025-winners-a/?game=233405
2283,542208,233433,Haven,8185,8185,1034,5,8,4,0,13,4,8185,1034,43:25,https://www.vlr.gg/542208/drx-vs-nrg-valorant-champions-2025-winners-c/?game=233433
2283,542213,233449,Sunset,14,1001,14,6,7,5,6,13,11,1001,14,51:59,https://www.vlr.gg/542213/team-heretics-vs-t1-valorant-champions-2025-winners-d/?game=233449
2283,542213,233448,Lotus,1001,1001,14,8,5,6,4,13,10,1001,14,51:06,https://www.vlr.gg/542213/team-heretics-vs-t1-valorant-champions-2025-winners-d/?game=233448
2283,542208,233434,Corrode,1034,8185,1034,4,7,5,8,11,13,1034,8185,55:37,https://www.vlr.gg/542208/drx-vs-nrg-valorant-champions-2025-winners-c/?game=233434
2283,542208,233435,Lotus,,8185,1034,3,8,4,9,11,13,1034,8185,53:46,https://www.vlr.gg/542208/drx-vs-nrg-valorant-champions-2025-winners-c/?game=233435
2283,542202,233419,Abyss,7386,7386,2593,0,7,5,8,7,13,2593,7386,45:01,https://www.vlr.gg/542202/mibr-vs-fnatic-valorant-champions-2025-winners-b/?game=233419
2283,542202,233418,Bind,2593,7386,2593,6,7,5,0,13,5,7386,2593,47:35,https://www.vlr.gg/542202/mibr-vs-fnatic-valorant-champions-2025-winners-b/?game=233418
