tournament_id,match_id,game_id,team1_id,team2_id,pistol1,pistol2,eco1_win,eco1_lose,eco2_win,eco2_lose,semi_eco1_win,semi_eco1_lose,semi_eco2_win,semi_eco2_lose,semi_buy1_win,semi_buy1_lose,semi_buy2_win,semi_buy2_lose,full_buy1_win,full_buy1_lose,full_buy2_win,full_buy2_lose
2283,542205,233427,474,8185,0,2,0,4,2,0,1,0,0,0,0,6,3,1,7,3,8,7
2283,542195,233398,624,13581,2,0,2,0,0,4,0,1,0,2,4,1,0,3,7,3,5,4
2283,542195,233397,624,13581,1,1,2,2,1,2,0,0,0,1,2,1,3,5,9,6,5,5
2283,542207,233431,1034,1120,1,1,1,2,1,2,0,1,0,1,2,3,2,3,10,5,8,7
2283,542196,233401,14419,2,1,1,2,2,2,1,0,0,0,0,0,1,1,10,11,1,1,2
2283,542196,233402,14419,2,1,1,1,2,1,2,0,1,0,1,3,1,3,3,9,5,5,7
2283,542205,233428,474,8185,1,1,2,1,1,2,0,1,1,1,2,3,1,1,6,8,10,6
2283,542196,233400,14419,2,1,1,1,2,1,2,0,2,0,0,1,3,2,0,4,6,10,4
2283,542207,233430,1034,1120,0,2,0,4,2,1,0,1,0,1,3,4,2,3,14,6,11,12
2283,542212,233445,11981,14,2,0,2,0,0,4,0,2,0,1,2,2,1,3,9,12,15,5
2283,542212,233446,11981,14,0,2,0,4,3,0,1,0,1,3,3,1,3,1,10,11,9,10
2283,542200,233412,12010,7386,0,2,0,3,2,0,0,1,0,0,0,5,4,1,2,4,7,1
2283,542211,233443,11058,1001,1,1,1,1,1,2,1,1,0,1,3,6,3,1,5,5,9,6
2283,542201,233415,878,2593,0,2,0,4,2,0,0,1,0,1,0,0,5,4,10,8,6,5
2283,542200,233413,12010,7386,0,2,1,3,2,0,0,0,1,0,3,2,3,1,5,8,7,8
2283,542211,233442,11058,1001,0,2,1,3,2,0,0,3,0,2,0,1,2,3,9,6,9,5
2283,542201,233416,878,2593,1,1,1,2,1,2,0,3,0,1,2,2,5,1,4,6,7,3
2283,542197,233403,624,14419,2,0,2,1,1,3,0,2,0,0,3,3,2,0,6,7,10,8
2283,542197,233404,624,14419,1,1,1,2,1,2,0,0,1,2,2,3,2,2,10,5,6,7
2283,542208,233433,8185,1034,2,0,2,0,0,4,0,0,0,1,5,0,0,4,6,4,4,4
2283,542197,233405,624,14419,2,0,2,0,0,3,0,0,1,1,3,0,2,5,8,6,3,4
2283,542213,233449,1001,14,0,2,0,4,2,0,0,0,0,1,1,2,3,4,12,5,6,8
2283,542213,233448,1001,14,1,1,2,1,1,2,0,1,0,3,1,1,1,2,10,7,8,6
2283,542208,233434,8185,1034,1,1,2,1,1,2,0,0,0,1,3,2,3,3,6,10,9,5
2283,542208,233435,8185,1034,1,1,1,2,1,3,0,2,0,0,2,2,3,3,8,7,9,5
2283,542202,233419,7386,2593,1,1,1,3,1,2,0,0,1,1,1,4,2,1,5,6,9,3
2283,542202,233418,7386,2593,1,1,1,2,1,2,0,0,0,1,2,0,2,5,10,3,2,5
2283,542202,233420,7386,2593,0,2,0,4,2,0,0,1,1,1,3,3,3,2,7,5,7,7
2283,542209,233437,474,1120,1,1,1,2,1,2,0,0,0,2,1,0,2,4,11,4,3,5
2283,542209,233436,474,1120,0,2,0,3,2,0,0,1,0,1,3,3,2,0,0,6,9,2
2283,542198,233406,13581,2,0,2,1,3,2,1,0,0,0,0,2,2,3,2,7,8,8,7
2283,542209,233438,474,1120,0,2,1,3,2,0,0,2,1,0,2,0,1,5,12,8,9,10
2283,542198,233407,13581,2,0,2,0,4,2,0,0,1,0,1,1,2,4,6,12,4,5,6
2283,542203,233421,12010,878,2,0,2,0,0,4,0,0,0,1,5,4,0,1,6,3,7,7
2283,542203,233423,12010,878,1,1,1,2,1,2,0,0,0,0,3,7,2,0,0,4,10,2
2283,542203,233422,12010,878,1,1,1,2,1,2,0,1,1,1,3,7,1,1,4,3,10,4
2283,542198,233408,13581,2,1,1,1,2,1,2,1,0,1,1,3,2,1,3,8,4,5,7
2283,542214,233452,11058,11981,2,0,2,0,0,4,0,1,0,3,2,3,1,2,9,3,6,4
2283,542210,233439,8185,474,1,1,1,2,1,2,0,0,0,1,4,2,5,2,8,4,2,8
2283,542199,233409,14419,13581,1,1,1,2,1,2,1,2,0,0,3,3,5,1,9,5,6,11
2283,542199,233410,14419,13581,2,0,2,0,0,4,1,0,0,0,3,4,1,5,7,6,9,4
2283,542210,233440,8185,474,2,0,2,0,0,4,0,2,0,0,2,2,1,4,9,3,6,5
2283,542215,233454,14,11058,1,1,1,2,1,2,0,0,0,0,2,4,4,2,6,7,8,5
