tournament_id,match_id,team1_name,team2_name,score1,score2,winner_name,loser_name,sub_stage,stage,match_url
2283,542195,Paper Rex,Xi Lai Gaming,2.0,0.0,Paper Rex,Xi Lai Gaming,Opening (A),Group Stage,https://www.vlr.gg/542195/paper-rex-vs-xi-lai-gaming-valorant-champions-2025-opening-a
2283,542196,GIANTX,Sentinels,2.0,1.0,GIANTX,Sentinels,Opening (A),Group Stage,https://www.vlr.gg/542196/giantx-vs-sentinels-valorant-champions-2025-opening-a
2283,542207,NRG,EDward Gaming,2.0,0.0,NRG,EDward Gaming,Opening (C),Group Stage,https://www.vlr.gg/542207/nrg-vs-edward-gaming-valorant-champions-2025-opening-c
2283,542205,Team Liquid,DRX,0.0,2.0,DRX,Team Liquid,Opening (C),Group Stage,https://www.vlr.gg/542205/team-liquid-vs-drx-valorant-champions-2025-opening-c
2283,542212,Dragon Ranger Gaming,T1,0.0,2.0,T1,Dragon Ranger Gaming,Opening (D),Group Stage,https://www.vlr.gg/542212/dragon-ranger-gaming-vs-t1-valorant-champions-2025-opening-d
2283,542211,G2 Esports,Team Heretics,0.0,2.0,Team Heretics,G2 Esports,Opening (D),Group Stage,https://www.vlr.gg/542211/g2-esports-vs-team-heretics-valorant-champions-2025-opening-d
2283,542200,Bilibili Gaming,MIBR,0.0,2.0,MIBR,Bilibili Gaming,Opening (B),Group Stage,https://www.vlr.gg/542200/bilibili-gaming-vs-mibr-valorant-champions-2025-opening-b
2283,542201,Rex Regum Qeon,FNATIC,0.0,2.0,FNATIC,Rex Regum Qeon,Opening (B),Group Stage,https://www.vlr.gg/542201/rex-regum-qeon-vs-fnatic-valorant-champions-2025-opening-b
2283,542197,Paper Rex,GIANTX,2.0,1.0,Paper Rex,GIANTX,Winner's (A),Group Stage,https://www.vlr.gg/542197/paper-rex-vs-giantx-valorant-champions-2025-winners-a
2283,542208,DRX,NRG,1.0,2.0,NRG,DRX,Winner's (C),Group Stage,https://www.vlr.gg/542208/drx-vs-nrg-valorant-champions-2025-winners-c
2283,542213,Team Heretics,T1,2.0,0.0,Team Heretics,T1,Winner's (D),Group Stage,https://www.vlr.gg/542213/team-heretics-vs-t1-valorant-champions-2025-winners-d
2283,542202,MIBR,FNATIC,1.0,2.0,FNATIC,MIBR,Winner's (B),Group Stage,https://www.vlr.gg/542202/mibr-vs-fnatic-valorant-champions-2025-winners-b
2283,542209,Team Liquid,EDward Gaming,2.0,1.0,Team Liquid,EDward Gaming,Elimination (C),Group Stage,https://www.vlr.gg/542209/team-liquid-vs-edward-gaming-valorant-champions-2025-elim-c
2283,542198,Xi Lai Gaming,Sentinels,2.0,1.0,Xi Lai Gaming,Sentinels,Elimination (A),Group Stage,https://www.vlr.gg/542198/xi-lai-gaming-vs-sentinels-valorant-champions-2025-elim-a
2283,542203,Bilibili Gaming,Rex Regum Qeon,1.0,2.0,Rex Regum Qeon,Bilibili Gaming,Elimination (B),Group Stage,https://www.vlr.gg/542203/bilibili-gaming-vs-rex-regum-qeon-valorant-champions-2025-elim-b
2283,542214,G2 Esports,Dragon Ranger Gaming,2.0,0.0,G2 Esports,Dragon Ranger Gaming,Elimination (D),Group Stage,https://www.vlr.gg/542214/g2-esports-vs-dragon-ranger-gaming-valorant-champions-2025-elim-d
2283,542210,DRX,Team Liquid,2.0,0.0,DRX,Team Liquid,Decider (C),Group Stage,https://www.vlr.gg/542210/drx-vs-team-liquid-valorant-champions-2025-decider-c
2283,542199,GIANTX,Xi Lai Gaming,2.0,0.0,GIANTX,Xi Lai Gaming,Decider (A),Group Stage,https://www.vlr.gg/542199/giantx-vs-xi-lai-gaming-valorant-champions-2025-decider-a
2283,542215,T1,G2 Esports,0.0,2.0,G2 Esports,T1,Decider (D),Group Stage,https://www.vlr.gg/542215/t1-vs-g2-esports-valorant-champions-2025-decider-d
2283,542204,MIBR,Rex Regum Qeon,2.0,0.0,MIBR,Rex Regum Qeon,Decider (B),Group Stage,https://www.vlr.gg/542204/mibr-vs-rex-regum-qeon-valorant-champions-2025-decider-b
2283,542265,Paper Rex,G2 Esports,2.0,1.0,Paper Rex,G2 Esports,Upper Quarterfinals,Playoffs,https://www.vlr.gg/542265/paper-rex-vs-g2-esports-valorant-champions-2025-ubqf
2283,542264,FNATIC,DRX,2.0,1.0,FNATIC,DRX,Upper Quarterfinals,Playoffs,https://www.vlr.gg/542264/fnatic-vs-drx-valorant-champions-2025-ubqf
2283,542266,Team Heretics,MIBR,0.0,2.0,MIBR,Team Heretics,Upper Quarterfinals,Playoffs,https://www.vlr.gg/542266/team-heretics-vs-mibr-valorant-champions-2025-ubqf
2283,542267,NRG,GIANTX,2.0,0.0,NRG,GIANTX,Upper Quarterfinals,Playoffs,https://www.vlr.gg/542267/nrg-vs-giantx-valorant-champions-2025-ubqf
2283,542273,DRX,G2 Esports,2.0,1.0,DRX,G2 Esports,Lower Round 1,Playoffs,https://www.vlr.gg/542273/drx-vs-g2-esports-valorant-champions-2025-lr1
2283,542274,Team Heretics,GIANTX,2.0,1.0,Team Heretics,GIANTX,Lower Round 1,Playoffs,https://www.vlr.gg/542274/team-heretics-vs-giantx-valorant-champions-2025-lr1
